chr	rs	ps	n_miss	allele1	allele0	af	beta	se	l_remle	p_wald	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000001	-9	0	X	Y	0.264	-5.039869e+00	2.966733e+00	6.955819e-01	9.068134e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs31443144	3010274	0	X	Y	0.263	-4.963979e+00	2.965708e+00	6.985282e-01	9.550188e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs6269442	3492195	0	X	Y	0.263	-4.963979e+00	2.965708e+00	6.985282e-01	9.550188e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs32285189	3511204	0	X	Y	0.263	-4.963979e+00	2.965708e+00	6.985282e-01	9.550188e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs258367496	3659804	0	X	Y	0.263	-4.963979e+00	2.965708e+00	6.985282e-01	9.550188e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs32430919	3777023	0	X	Y	0.263	-4.963979e+00	2.965708e+00	6.985282e-01	9.550188e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs36251697	3812265	0	X	Y	0.263	-4.963979e+00	2.965708e+00	6.985282e-01	9.550188e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs30658298	4430623	0	X	Y	0.263	-4.963979e+00	2.965708e+00	6.985282e-01	9.550188e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs31879829	4518714	0	X	Y	0.263	-4.963979e+00	2.965708e+00	6.985282e-01	9.550188e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs36742481	4776319	0	X	Y	0.263	-4.963979e+00	2.965708e+00	6.985282e-01	9.550188e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs6365999	4820983	0	X	Y	0.263	-4.963979e+00	2.965708e+00	6.985282e-01	9.550188e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs13470446	4846561	0	X	Y	0.263	-4.963979e+00	2.965708e+00	6.985282e-01	9.550188e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000111	-9	0	X	Y	0.267	-5.123905e+00	2.951499e+00	7.085626e-01	8.386839e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000112	-9	0	X	Y	0.271	-5.889825e+00	3.015387e+00	7.650766e-01	5.197603e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000008	-9	0	X	Y	0.268	-5.664692e+00	2.998361e+00	7.666058e-01	6.008784e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000002	-9	0	X	Y	0.268	-5.664692e+00	2.998361e+00	7.666058e-01	6.008784e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000009	-9	1	X	Y	0.269	-5.720835e+00	3.014597e+00	7.777503e-01	5.895983e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs6376963	5018010	0	X	Y	0.270	-5.708097e+00	3.012708e+00	7.880154e-01	5.936339e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000120	-9	0	X	Y	0.270	-5.708097e+00	3.012708e+00	7.880154e-01	5.936339e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000010	-9	0	X	Y	0.272	-6.149541e+00	3.017761e+00	7.798737e-01	4.269191e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs30847416	5025197	0	X	Y	0.272	-6.149541e+00	3.017761e+00	7.798737e-01	4.269191e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs31625087	5119671	0	X	Y	0.272	-6.149541e+00	3.017761e+00	7.798737e-01	4.269191e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs31716357	5155818	0	X	Y	0.272	-6.149541e+00	3.017761e+00	7.798737e-01	4.269191e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs3677817	5185979	0	X	Y	0.272	-6.149541e+00	3.017761e+00	7.798737e-01	4.269191e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000121	-9	1	X	Y	0.272	-6.167351e+00	3.017559e+00	7.798716e-01	4.208637e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000011	-9	1	X	Y	0.270	-5.551241e+00	3.029204e+00	7.863374e-01	6.813120e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs47937185	5316776	0	X	Y	0.269	-5.297709e+00	3.021922e+00	7.877566e-01	8.089006e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000012	-9	0	X	Y	0.269	-5.297709e+00	3.021922e+00	7.877566e-01	8.089006e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000148	-9	0	X	Y	0.269	-5.297709e+00	3.021922e+00	7.877566e-01	8.089006e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000013	-9	0	X	Y	0.278	-5.262540e+00	3.087027e+00	8.217920e-01	8.956679e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs32140280	5641533	0	X	Y	0.278	-5.262540e+00	3.087027e+00	8.217920e-01	8.956679e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000014	-9	1	X	Y	0.280	-5.281212e+00	3.097840e+00	8.247547e-01	8.955243e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs32096391	6097778	0	X	Y	0.280	-5.283399e+00	3.097914e+00	8.244797e-01	8.942820e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000015	-9	0	X	Y	0.280	-5.283399e+00	3.097914e+00	8.244797e-01	8.942820e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000176	-9	0	X	Y	0.280	-5.283399e+00	3.097914e+00	8.244797e-01	8.942820e-02	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000016	-9	0	X	Y	0.282	-4.955927e+00	3.105991e+00	8.430611e-01	1.119215e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
1	rs47493511	6357478	0	X	Y	0.282	-4.955927e+00	3.105991e+00	8.430611e-01	1.119215e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
-9	rsm10000000180	-9	0	X	Y	0.282	-4.955927e+00	3.105991e+00	8.430611e-01	1.119215e-01	0	Blood glucose level intraperitoneal glucose tolerance test at time30 min of 18week old males mgdl
