chr	rs	ps	n_miss	allele1	allele0	af	beta	se	l_remle	p_wald	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000001	-9	0	X	Y	0.264	-3.984661e-01	2.383604e-01	2.786485e-01	9.591533e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs31443144	3010274	0	X	Y	0.263	-3.976382e-01	2.379066e-01	2.777655e-01	9.597282e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs6269442	3492195	0	X	Y	0.263	-3.976382e-01	2.379066e-01	2.777655e-01	9.597282e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs32285189	3511204	0	X	Y	0.263	-3.976382e-01	2.379066e-01	2.777655e-01	9.597282e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs258367496	3659804	0	X	Y	0.263	-3.976382e-01	2.379066e-01	2.777655e-01	9.597282e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs32430919	3777023	0	X	Y	0.263	-3.976382e-01	2.379066e-01	2.777655e-01	9.597282e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs36251697	3812265	0	X	Y	0.263	-3.976382e-01	2.379066e-01	2.777655e-01	9.597282e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs30658298	4430623	0	X	Y	0.263	-3.976382e-01	2.379066e-01	2.777655e-01	9.597282e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs31879829	4518714	0	X	Y	0.263	-3.976382e-01	2.379066e-01	2.777655e-01	9.597282e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs36742481	4776319	0	X	Y	0.263	-3.976382e-01	2.379066e-01	2.777655e-01	9.597282e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs6365999	4820983	0	X	Y	0.263	-3.976382e-01	2.379066e-01	2.777655e-01	9.597282e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs13470446	4846561	0	X	Y	0.263	-3.976382e-01	2.379066e-01	2.777655e-01	9.597282e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000111	-9	0	X	Y	0.267	-4.033609e-01	2.360437e-01	2.559383e-01	8.880085e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000112	-9	0	X	Y	0.271	-4.042733e-01	2.392963e-01	2.544442e-01	9.246410e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000008	-9	0	X	Y	0.268	-4.095744e-01	2.377407e-01	2.632907e-01	8.624429e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000002	-9	0	X	Y	0.268	-4.095744e-01	2.377407e-01	2.632907e-01	8.624429e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000009	-9	1	X	Y	0.269	-4.120435e-01	2.385290e-01	2.625941e-01	8.540332e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs6376963	5018010	0	X	Y	0.270	-4.101265e-01	2.381131e-01	2.630642e-01	8.631233e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000120	-9	0	X	Y	0.270	-4.101265e-01	2.381131e-01	2.630642e-01	8.631233e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000010	-9	0	X	Y	0.272	-5.016122e-01	2.365885e-01	2.295416e-01	3.503853e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs30847416	5025197	0	X	Y	0.272	-5.016122e-01	2.365885e-01	2.295416e-01	3.503853e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs31625087	5119671	0	X	Y	0.272	-5.016122e-01	2.365885e-01	2.295416e-01	3.503853e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs31716357	5155818	0	X	Y	0.272	-5.016122e-01	2.365885e-01	2.295416e-01	3.503853e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs3677817	5185979	0	X	Y	0.272	-5.016122e-01	2.365885e-01	2.295416e-01	3.503853e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000121	-9	1	X	Y	0.272	-5.004675e-01	2.366138e-01	2.298497e-01	3.547231e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000011	-9	1	X	Y	0.270	-4.190986e-01	2.387771e-01	2.680680e-01	8.053032e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
1	rs47937185	5316776	0	X	Y	0.269	-4.308255e-01	2.377925e-01	2.634602e-01	7.129807e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
-9	rsm10000000012	-9	0	X	Y	0.269	-4.308255e-01	2.377925e-01	2.634602e-01	7.129807e-02	1	Cytotoxicity in spleen T cells 21 days post 5x109 PFU AdLacZ iv injection 
