chr	rs	ps	n_miss	allele1	allele0	af	beta	se	l_remle	p_wald	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000001	-9	0	X	Y	0.264	2.152816e-03	2.270158e-03	3.448243e-01	3.439451e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs31443144	3010274	0	X	Y	0.263	2.286568e-03	2.265584e-03	3.436396e-01	3.138869e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs6269442	3492195	0	X	Y	0.263	2.286568e-03	2.265584e-03	3.436396e-01	3.138869e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs32285189	3511204	0	X	Y	0.263	2.286568e-03	2.265584e-03	3.436396e-01	3.138869e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs258367496	3659804	0	X	Y	0.263	2.286568e-03	2.265584e-03	3.436396e-01	3.138869e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs32430919	3777023	0	X	Y	0.263	2.286568e-03	2.265584e-03	3.436396e-01	3.138869e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs36251697	3812265	0	X	Y	0.263	2.286568e-03	2.265584e-03	3.436396e-01	3.138869e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs30658298	4430623	0	X	Y	0.263	2.286568e-03	2.265584e-03	3.436396e-01	3.138869e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs31879829	4518714	0	X	Y	0.263	2.286568e-03	2.265584e-03	3.436396e-01	3.138869e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs36742481	4776319	0	X	Y	0.263	2.286568e-03	2.265584e-03	3.436396e-01	3.138869e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs6365999	4820983	0	X	Y	0.263	2.286568e-03	2.265584e-03	3.436396e-01	3.138869e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs13470446	4846561	0	X	Y	0.263	2.286568e-03	2.265584e-03	3.436396e-01	3.138869e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000111	-9	0	X	Y	0.267	2.448565e-03	2.252073e-03	3.369447e-01	2.780407e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000112	-9	0	X	Y	0.271	2.579600e-03	2.286815e-03	3.438679e-01	2.604569e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000008	-9	0	X	Y	0.268	2.090057e-03	2.271487e-03	3.418737e-01	3.584499e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000002	-9	0	X	Y	0.268	2.090057e-03	2.271487e-03	3.418737e-01	3.584499e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000009	-9	1	X	Y	0.269	2.052075e-03	2.280137e-03	3.425883e-01	3.690530e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs6376963	5018010	0	X	Y	0.270	1.998994e-03	2.276489e-03	3.434785e-01	3.807842e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000120	-9	0	X	Y	0.270	1.998994e-03	2.276489e-03	3.434785e-01	3.807842e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000010	-9	0	X	Y	0.272	2.088198e-03	2.278637e-03	3.348036e-01	3.603839e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs30847416	5025197	0	X	Y	0.272	2.088198e-03	2.278637e-03	3.348036e-01	3.603839e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs31625087	5119671	0	X	Y	0.272	2.088198e-03	2.278637e-03	3.348036e-01	3.603839e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs31716357	5155818	0	X	Y	0.272	2.088198e-03	2.278637e-03	3.348036e-01	3.603839e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs3677817	5185979	0	X	Y	0.272	2.088198e-03	2.278637e-03	3.348036e-01	3.603839e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000121	-9	1	X	Y	0.272	2.080467e-03	2.278722e-03	3.349088e-01	3.621797e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000011	-9	1	X	Y	0.270	1.736139e-03	2.285188e-03	3.476838e-01	4.481741e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs47937185	5316776	0	X	Y	0.269	1.820316e-03	2.277413e-03	3.459999e-01	4.249289e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000012	-9	0	X	Y	0.269	1.820316e-03	2.277413e-03	3.459999e-01	4.249289e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000148	-9	0	X	Y	0.269	1.820316e-03	2.277413e-03	3.459999e-01	4.249289e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000013	-9	0	X	Y	0.278	1.673442e-03	2.318035e-03	3.590750e-01	4.710597e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs32140280	5641533	0	X	Y	0.278	1.673442e-03	2.318035e-03	3.590750e-01	4.710597e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000014	-9	1	X	Y	0.280	1.643062e-03	2.326220e-03	3.617730e-01	4.806872e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs32096391	6097778	0	X	Y	0.280	1.647420e-03	2.326144e-03	3.614923e-01	4.795108e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000015	-9	0	X	Y	0.280	1.647420e-03	2.326144e-03	3.614923e-01	4.795108e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000176	-9	0	X	Y	0.280	1.647420e-03	2.326144e-03	3.614923e-01	4.795108e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000016	-9	0	X	Y	0.282	1.497875e-03	2.329896e-03	3.682501e-01	5.209201e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs47493511	6357478	0	X	Y	0.282	1.497875e-03	2.329896e-03	3.682501e-01	5.209201e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000180	-9	0	X	Y	0.282	1.497875e-03	2.329896e-03	3.682501e-01	5.209201e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000017	-9	0	X	Y	0.284	1.425538e-03	2.338131e-03	3.741717e-01	5.426555e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs31190522	6747440	0	X	Y	0.284	1.425538e-03	2.338131e-03	3.741717e-01	5.426555e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs6298633	6830161	0	X	Y	0.284	1.425538e-03	2.338131e-03	3.741717e-01	5.426555e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs31362910	9843988	0	X	Y	0.284	1.425538e-03	2.338131e-03	3.741717e-01	5.426555e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000184	-9	1	X	Y	0.285	1.780588e-03	2.340682e-03	3.625382e-01	4.475909e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000018	-9	1	X	Y	0.285	1.780588e-03	2.340682e-03	3.625382e-01	4.475909e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000255	-9	1	X	Y	0.285	1.780588e-03	2.340682e-03	3.625382e-01	4.475909e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000019	-9	1	X	Y	0.282	2.137351e-03	2.331224e-03	3.601255e-01	3.601683e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000261	-9	1	X	Y	0.282	2.137351e-03	2.331224e-03	3.601255e-01	3.601683e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs31878990	10098253	0	X	Y	0.284	1.798392e-03	2.330220e-03	3.572033e-01	4.410265e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000262	-9	0	X	Y	0.283	1.828976e-03	2.320739e-03	3.581743e-01	4.314321e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000263	-9	0	X	Y	0.283	1.828976e-03	2.320739e-03	3.581743e-01	4.314321e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000020	-9	0	X	Y	0.281	2.152836e-03	2.321299e-03	3.543342e-01	3.546563e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs32186775	10162992	0	X	Y	0.281	2.152836e-03	2.321299e-03	3.543342e-01	3.546563e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000265	-9	1	X	Y	0.280	2.197117e-03	2.325314e-03	3.516793e-01	3.456962e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000021	-9	1	X	Y	0.282	2.054299e-03	2.332600e-03	3.615681e-01	3.793850e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000271	-9	1	X	Y	0.282	2.054299e-03	2.332600e-03	3.615681e-01	3.793850e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000022	-9	1	X	Y	0.279	2.628231e-03	2.335447e-03	3.382246e-01	2.615824e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs31868650	10809088	0	X	Y	0.278	2.632679e-03	2.335222e-03	3.378595e-01	2.607324e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000023	-9	2	X	Y	0.277	2.550090e-03	2.348388e-03	3.376656e-01	2.786404e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs6360236	11083825	0	X	Y	0.274	2.384351e-03	2.335792e-03	3.379748e-01	3.084041e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs32740138	11416077	0	X	Y	0.275	2.330985e-03	2.331256e-03	3.363114e-01	3.183952e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs249962268_D1Mit1	11515522	0	X	Y	0.275	2.330985e-03	2.331256e-03	3.363114e-01	3.183952e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000280	-9	0	X	Y	0.275	2.330985e-03	2.331256e-03	3.363114e-01	3.183952e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000024	-9	0	X	Y	0.270	1.524292e-03	2.355520e-03	3.757382e-01	5.181893e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs30991578	11793253	0	X	Y	0.271	1.466561e-03	2.353369e-03	3.769912e-01	5.337737e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
1	rs32347261	12740981	0	X	Y	0.271	1.466561e-03	2.353369e-03	3.769912e-01	5.337737e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000292	-9	0	X	Y	0.271	1.466561e-03	2.353369e-03	3.769912e-01	5.337737e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
-9	rsm10000000025	-9	0	X	Y	0.259	2.504439e-04	2.391091e-03	4.207031e-01	9.166711e-01	0	Bone mineral density by peripheral dual energy Xray absorptiometer PDEXA of 19week old females gcm2
